epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,16513.3,0.12137,0.13427,0.11034,0.76423,0,0.99168,1,0.995,0.95969,0.97979,0.98789,0.99424,0.94468,0.21535,0.69396,0.15191,0.82052,0,0.000198125,0.000198125,0.000198125
87,16703.6,0.12044,0.13165,0.11181,0.76144,0,0.99564,1,0.995,0.96068,0.97735,0.98879,0.99396,0.9482,0.21749,0.72471,0.15416,0.82693,0,0.00018575,0.00018575,0.00018575
88,16885.5,0.11796,0.13401,0.10812,0.77077,0,0.99207,1,0.995,0.95907,0.9793,0.98892,0.99396,0.94364,0.21787,0.73777,0.15231,0.82732,0,0.000173375,0.000173375,0.000173375
89,17076.4,0.11654,0.12717,0.10578,0.77077,0,0.9924,1,0.995,0.95759,0.97973,0.98872,0.99386,0.94586,0.21717,0.73415,0.15248,0.82701,0,0.000161,0.000161,0.000161
90,17261.8,0.11224,0.12893,0.10563,0.75705,0,0.99673,1,0.995,0.95892,0.97866,0.9888,0.99368,0.94799,0.22151,0.77443,0.15131,0.82864,0,0.000148625,0.000148625,0.000148625
91,17448.3,0.10727,0.1263,0.10278,0.76279,0,0.99757,1,0.995,0.95618,0.97752,0.98923,0.98951,0.94877,0.22035,0.81656,0.15021,0.8323,0,0.00013625,0.00013625,0.00013625
92,17639.4,0.10857,0.12514,0.10405,0.77663,0,0.99461,1,0.995,0.95608,0.97936,0.9882,0.98951,0.94284,0.22477,0.78365,0.15141,0.83541,0,0.000123875,0.000123875,0.000123875
93,17839,0.1065,0.12537,0.10228,0.76411,0,0.99433,1,0.995,0.95561,0.97937,0.98816,0.98951,0.94499,0.21878,0.77644,0.1499,0.83402,0,0.0001115,0.0001115,0.0001115
94,18029.1,0.10526,0.12126,0.09985,0.76246,0,0.99668,1,0.995,0.95985,0.98457,0.98783,0.99382,0.94888,0.21726,0.7414,0.14473,0.82999,0,9.9125e-05,9.9125e-05,9.9125e-05
95,18214.9,0.10442,0.12303,0.09905,0.76588,0,0.99835,1,0.995,0.96002,0.98624,0.98787,0.99442,0.95148,0.21155,0.74332,0.14133,0.82761,0,8.675e-05,8.675e-05,8.675e-05
96,18402.6,0.10343,0.12252,0.09692,0.75977,0,0.99828,1,0.995,0.95918,0.98618,0.98789,0.99442,0.95023,0.20681,0.74674,0.14157,0.82396,0,7.4375e-05,7.4375e-05,7.4375e-05
97,18595.3,0.10055,0.1185,0.09524,0.76402,0,0.99825,1,0.995,0.9611,0.98618,0.98792,0.99453,0.95,0.20392,0.74278,0.14066,0.82155,0,6.2e-05,6.2e-05,6.2e-05
98,18786.3,0.09705,0.11823,0.09418,0.75481,0,0.99825,1,0.995,0.96027,0.98614,0.98791,0.99453,0.9516,0.20471,0.74651,0.14089,0.82226,0,4.9625e-05,4.9625e-05,4.9625e-05
99,19002.5,0.09535,0.11556,0.09278,0.75759,0,0.99829,1,0.995,0.96089,0.98621,0.9879,0.99442,0.9522,0.20641,0.74806,0.1403,0.82406,0,3.725e-05,3.725e-05,3.725e-05
100,19193,0.0933,0.11362,0.09193,0.75581,0,0.99832,1,0.995,0.96329,0.98622,0.98789,0.99453,0.95511,0.20673,0.74854,0.14157,0.82392,0,2.4875e-05,2.4875e-05,2.4875e-05
